message, target,new_label
our  th is different,0,
we literally cannot win because arc warden iwll never fight,0,
 good game easy,0,
btch,1,
hilarious,0,
ceb bto dne or feed ,0,
tanga mo,2,
pa is crying,0,
toxic,0,
tnagina ign pa lang,1,
why you tip me unskilled bitch ,2,
worst team ever,0,
i thought meepo storm would get fucked this game,1,
fuck off nabsters,1,
was it worth it ,0,
gg fuck this unedrlord,2,
it s the same reason why you play so shit,1,
but thats the peruvian way,0,
lost to shitwrath,1,
stupid cnt i got two for your one,2,
and report the whores on puck and axe,2,
god of stupid,1,
also u swapped my storm,0,
rat ass bitch,2,
kinda free game for you,0,
what are the fucking odds,1,
classic road to  k guy,0,
team is dogs,2,
nice feed retard,2,
name chinese,0,
vacation in new jersey ,0,
gay over,2,
you re literally a retard,2,
brat ty chego,0,
is idiot pick veng,1,
are you chingchong ,2,
find me gay ,1,
dont play with flowers if you want to get your arse tickled,0,
did he kill anyone  ,0,
suck my ass,2,
u knwo why putin rape ur ass ,2,
sorry to waste your time,0,
for yourself,0,
why do i need to cry  ,0,
just go throne,0,
willow suck it,0,
sorry busy fucking ur motherss,2,
  win worth    losses where you get shitstomped like this and paused like    times,1,
trash offlane pa,2,
witch brazilian nobb,2,
fucking crybaby stealer bitch,2,
me and fuck sippin,1,
g throne,0,
lose now ,0,
and my   sits top with his thumb up his ass,2,
u suck line for me all game,2,
ok that was personal,0,
shut up archon noob,2,
more than there are minutes this game,0,
how come visage never gets banned,0,
fck u pl ahhaha,2,
but this dude dont hahaha,0,
ur not serious idiot,1,
ez win for you,0,
lmao u clowns,2,
you killed me and got   level wtf,1,
we can t kill jugg,0,
you think im football  ,0,
hand of midas  what a joke,0,
so its ur fault noob,2,
straight pls,0,
toxic shit,1,
if you re playin  me  keep it on the low cause my heart can t take it anymore,0,
for sure,0,
with a big nose,2,
trash team,2,
go thorne,0,
disrupt mid from there you know its gg,0,
thats mad racist,0,
report brown,0,
why you think you can talk to me  ,0,
u do not count my friend,0,
go fuck yourself ,2,
what is sex ,1,
acc buying son of whore,2,
because es babysit,0,
harosh,0,
bro i need some crits fuck me ,1,
crashed,0,
nice catch retard  d,1,
really,0,
i feel like you should know,0,
tri lane for what ,0,
dick for living,1,
racoon mid razor wins this,0,
on the map,0,
every day,0,
what,0,
use shell,0,
wasting time ,0,
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,
this brood is a fatbitch,2,
razor isnt carry ,0,
pink u had him in ur team and  nd picked him,0,
fucking brilliantly person here,2,
second game useless team,2,
wtf is up with you guys,1,
thx go,0,
cringe shit,1,
pink dont pick me ty,0,
omg no this trash no way,1,
honestly prob best as   atm  had some luck there when i ve been core,0,
i first picked pudge bro,0,
why,0,
u suck ember s fist,2,
again all legends enemy team and my team archons,0,
and fuck putin,1,
ind g poor country ,2,
i got baited,0,
why,0,
end your mom,2,
so fucking stupid,2,
what server  ,0,
stupid ass bitch,2,
no need for salt  qop is whiny enough as it is,0,
very happy,0,
very sad aint it s,0,
undy low shit min    use go end gg and play    min,1,
and u will have tip,0,
click on his sniper avatar,0,
stop aim me ,0,
of my life,0,
son of dog,2,
now fucking kill your team,1,
whatever  fuck putin,1,
top,0,
space cow is also always a gay hero,2,
have an unsucked dick ,1,
annnoying bitch,2,
drow lowest rank in the team cant adjust,0,
ur team so asshole,2,
why cant i have some fucking common sense,1,
already ,0,
fuck this mars mother,2,
i dont wanna play wtih some trash mopngolian and myasnmar players,0,
good trade clowns   ,2,
nyx just type virgin and u win,0,
ignore our monkey io,1,
my support is shet and useless,2,
fucknig palying turn based rpg with qop here,1,
they are farming u,0,
hes new,0,
why sell items wk  ,0,
useless as your army,2,
cancel charge pls ,0,
when lc mom die she say ah,2,
team worried about alch for what,0,
bad draft with a shit tide player,2,
please blue,0,
idiot carry,2,
fk u,2,
he literally stand still,0,
you die like the bitch you are,2,
  fkin losers just can t seem to end,2,
fuq off,1,
thank fuck,1,
bkb really fucked yall up huh,1,
another great game,0,
idiot tide,2,
eayh bc sven mf support ,1,
fight  e,0,
he told,0,
he had good reason its not ranked,0,
bitch,2,
im so fucking bad at this game,1,
end this stupid game with stupid cores,2,
