message, target
that bitch was with me   sec ago ,1
legend player cute,0
thats fucked up,1
this is so ez for me,0
relly time waste,0
go fuck urself mate,2
they pussy af,2
ld you lose mid like dog dont try to be toxic plss,1
i d actually put one up your ass you insufferable twink,2
what the fking are you doing there,1
slow in mund i mean,0
fucking trash supports,2
who the fuk get grand master on sniper,1
classic dota pick husker and own rtarded sub humans,2
fuck your mother aa,2
report beast for   digit,0
we are not waiting fucking    minutes,1
no silver edge haha  typical trash dog,2
bs report thx,0
dont fuck with the mutts,1
always the mid or the safelane is noob,2
just wasting time,0
he got carried,0
wait on youtube,0
free to leave,0
oe el pugna tme ta tecleando te metes mrd,0
what is     ,0
once again,0
